Name,Platform,Year,Genre,Publisher,Rank,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Wii Sports,Wii,2006.0,Sports,Nintendo,1,82.74,41.49,29.02,3.77,8.46
Super Mario Bros.,NES,1985.0,Platform,Nintendo,2,40.24,29.08,3.58,6.81,0.77
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,3,35.82,15.85,12.88,3.79,3.31
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,4,33.0,15.75,11.01,3.28,2.96
Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,5,31.37,11.27,8.89,10.22,1.0
Tetris,GB,1989.0,Puzzle,Nintendo,6,30.26,23.2,2.26,4.22,0.58
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,7,30.01,11.38,9.23,6.5,2.9
Wii Play,Wii,2006.0,Misc,Nintendo,8,29.02,14.03,9.2,2.93,2.85
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,9,28.62,14.59,7.06,4.7,2.26
Duck Hunt,NES,1984.0,Shooter,Nintendo,10,28.31,26.93,0.63,0.28,0.47
Nintendogs,DS,2005.0,Simulation,Nintendo,11,24.76,9.07,11.0,1.93,2.75
Mario Kart DS,DS,2005.0,Racing,Nintendo,12,23.42,9.81,7.57,4.13,1.92
Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,13,23.1,9.0,6.18,7.2,0.71
Wii Fit,Wii,2007.0,Sports,Nintendo,14,22.72,8.94,8.03,3.6,2.15
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,15,22.0,9.09,8.59,2.53,1.79
Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,16,21.82,14.97,4.94,0.24,1.67
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,17,21.4,7.01,9.27,0.97,4.14
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,18,20.81,9.43,0.4,0.41,10.57
Super Mario World,SNES,1990.0,Platform,Nintendo,19,20.61,12.78,3.75,3.54,0.55
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,20,20.22,4.75,9.26,4.16,2.05
Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,21,18.36,6.42,4.52,6.04,1.37
Super Mario Land,GB,1989.0,Platform,Nintendo,22,18.14,10.83,2.71,4.18,0.42
Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,23,17.28,9.54,3.44,3.84,0.46
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,24,16.38,9.63,5.31,0.06,1.38
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,25,16.15,8.41,5.49,0.47,1.78
Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,26,15.85,6.06,3.9,5.38,0.5
Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,27,15.32,5.57,3.28,5.65,0.82
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,28,15.3,3.44,5.36,5.32,1.18
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,29,14.98,6.85,5.09,1.87,1.16
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,30,14.76,9.03,4.28,0.13,1.32
Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,31,14.64,5.89,5.04,3.12,0.59
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,32,14.64,9.67,3.73,0.11,1.13
Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,33,14.35,5.17,4.05,4.34,0.79
Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,34,14.24,5.77,5.81,0.35,2.31
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,35,14.03,4.99,5.88,0.65,2.52
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,36,13.73,8.25,4.3,0.07,1.12
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,37,13.51,8.52,3.63,0.08,1.29
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,38,13.46,5.54,5.82,0.49,1.62
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,39,13.1,6.99,4.51,0.3,1.3
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,40,13.04,6.75,2.61,2.66,1.02
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,41,12.73,5.98,4.44,0.48,1.83
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,42,12.27,2.55,3.52,5.33,0.88
Mario Kart 7,3DS,2011.0,Racing,Nintendo,43,12.21,4.74,3.91,2.67,0.89
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,44,12.14,7.97,2.83,0.13,1.21
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,45,11.98,3.8,5.81,0.36,2.02
Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,46,11.9,4.4,2.77,3.96,0.77
Super Mario 64,N64,1996.0,Platform,Nintendo,47,11.89,6.91,2.85,1.91,0.23
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,48,11.66,3.01,0.01,1.1,7.53
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,49,11.52,6.16,3.4,1.2,0.76
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,50,11.33,4.23,3.37,3.08,0.65
Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,51,11.18,6.16,2.04,2.69,0.29
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,52,11.02,6.76,3.1,0.14,1.03
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,53,10.95,4.02,3.87,2.54,0.52
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,54,10.79,4.89,2.99,2.13,0.78
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,55,10.77,2.96,4.88,0.81,2.12
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,56,10.69,4.99,3.69,0.38,1.63
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,57,10.57,4.76,3.76,0.44,1.62
Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,58,10.55,5.99,2.15,2.12,0.29
Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,59,10.49,4.34,2.65,3.15,0.35
Super Mario 64,DS,2004.0,Platform,Nintendo,60,10.42,5.08,3.11,1.25,0.98
Just Dance 3,Wii,2011.0,Misc,Ubisoft,61,10.26,6.05,3.15,0.0,1.07
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,62,10.21,6.72,2.63,0.04,0.82
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,63,9.88,7.03,1.98,0.08,0.78
Mario Kart 64,N64,1996.0,Racing,Nintendo,64,9.87,5.55,1.94,2.23,0.15
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,65,9.82,3.66,3.07,2.47,0.63
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,66,9.76,6.63,2.36,0.04,0.73
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,67,9.72,3.01,2.47,3.28,0.96
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,68,9.59,4.09,3.73,0.38,1.38
Just Dance 2,Wii,2010.0,Misc,Ubisoft,69,9.52,5.84,2.89,0.01,0.78
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,70,9.49,3.88,3.42,1.69,0.5
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,71,9.32,5.91,2.38,0.13,0.9
Donkey Kong Country,SNES,1994.0,Platform,Nintendo,72,9.3,4.36,1.71,3.0,0.23
Minecraft,X360,2013.0,Misc,Microsoft Game Studios,73,9.2,5.58,2.83,0.02,0.77
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,74,9.09,2.01,2.32,4.36,0.41
Mario Party DS,DS,2007.0,Misc,Nintendo,75,9.02,4.46,1.88,1.98,0.7
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,76,8.84,5.03,2.86,0.1,0.85
Super Mario Kart,SNES,1992.0,Racing,Nintendo,77,8.76,3.54,1.24,3.81,0.18
FIFA 16,PS4,2015.0,Sports,Electronic Arts,78,8.49,1.11,6.06,0.06,1.26
Wii Party,Wii,2010.0,Misc,Nintendo,79,8.49,1.79,3.53,2.49,0.68
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,80,8.49,6.82,1.53,0.05,0.08
Mario Party 8,Wii,2007.0,Misc,Nintendo,81,8.42,3.81,2.3,1.58,0.73
Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,82,8.33,2.91,1.86,3.14,0.43
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,83,8.24,1.06,5.05,0.13,2.01
The Sims 3,PC,2009.0,Simulation,Electronic Arts,84,8.11,0.98,6.42,0.0,0.71
GoldenEye 007,N64,1997.0,Shooter,Nintendo,85,8.09,5.8,2.01,0.13,0.15
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,86,8.06,2.58,3.9,0.66,0.91
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,87,8.05,2.91,2.07,2.73,0.33
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,88,7.86,2.28,1.72,3.63,0.23
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,89,7.84,2.82,1.78,2.69,0.55
Pac-Man,2600,1982.0,Puzzle,Atari,90,7.81,7.28,0.45,0.0,0.08
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,91,7.72,2.9,2.83,0.24,1.75
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,92,7.69,3.66,2.42,0.98,0.64
Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,93,7.67,2.93,3.29,0.22,1.23
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,94,7.6,2.8,3.3,0.14,1.37
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,95,7.6,4.1,1.89,1.45,0.16
Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,96,7.58,3.78,2.17,1.31,0.31
Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,97,7.46,5.39,1.18,0.7,0.19
Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,98,7.45,3.24,1.35,2.42,0.43
Call of Duty: World at War,X360,2008.0,Shooter,Activision,99,7.37,4.79,1.9,0.0,0.69
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,100,7.34,4.46,2.13,0.06,0.69
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,101,7.31,3.83,2.19,0.6,0.7
Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,102,7.3,4.52,2.09,0.01,0.67
Just Dance,Wii,2009.0,Misc,Ubisoft,103,7.27,3.51,3.03,0.0,0.73
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,104,7.23,2.85,2.93,0.35,1.1
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,105,7.2,3.27,2.83,0.08,1.02
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,106,7.16,3.27,2.22,1.4,0.29
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,107,7.13,3.68,1.75,1.42,0.28
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,108,7.07,4.41,1.04,1.39,0.22
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,109,6.96,3.13,2.07,1.27,0.49
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,110,6.96,2.47,3.15,0.24,1.1
Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,111,6.95,4.12,1.77,0.87,0.19
Just Dance 4,Wii,2012.0,Misc,Ubisoft,112,6.91,4.14,2.21,0.0,0.56
FIFA 14,PS3,2013.0,Sports,Electronic Arts,113,6.9,0.78,4.32,0.07,1.73
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,114,6.9,2.71,3.02,0.08,1.09
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,115,6.83,2.93,2.75,0.17,0.99
Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,116,6.83,2.77,2.8,0.19,1.06
Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,117,6.82,3.23,2.35,0.94,0.3
Zumba Fitness,Wii,2010.0,Sports,505 Games,118,6.81,3.5,2.64,0.0,0.67
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,119,6.76,4.15,1.92,0.06,0.64
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,120,6.73,3.27,2.25,0.21,1.0
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,121,6.72,3.1,2.3,0.28,1.04
FIFA 12,PS3,2011.0,Sports,Electronic Arts,122,6.69,0.84,4.32,0.11,1.42
Big Brain Academy,DS,2005.0,Misc,Nintendo,123,6.67,1.67,2.78,1.6,0.62
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,124,6.6,2.79,2.61,0.17,1.03
FIFA 15,PS4,2014.0,Sports,Electronic Arts,125,6.59,0.79,4.29,0.05,1.47
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,126,6.59,3.25,1.84,1.03,0.47
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,127,6.56,2.55,2.71,0.25,1.05
The Legend of Zelda,NES,1986.0,Action,Nintendo,128,6.51,3.74,0.93,1.69,0.14
Assassin's Creed III,PS3,2012.0,Action,Ubisoft,129,6.5,2.64,2.56,0.16,1.14
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,130,6.43,4.98,1.3,0.08,0.07
Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,131,6.41,2.57,1.58,2.06,0.21
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,132,6.4,3.64,1.2,1.49,0.07
Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,133,6.39,2.55,1.56,1.29,0.99
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,134,6.36,4.34,1.35,0.06,0.61
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,135,6.34,3.7,1.97,0.09,0.57
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,136,6.31,4.01,1.26,0.87,0.17
Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,137,6.3,2.47,0.83,2.87,0.12
World of Warcraft,PC,2004.0,Role-Playing,Activision,138,6.28,0.07,6.21,0.0,0.0
Driver,PS,1999.0,Action,GT Interactive,139,6.27,3.11,2.8,0.02,0.33
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,140,6.24,3.92,1.78,0.03,0.51
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,141,6.24,4.05,1.62,0.07,0.49
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,142,6.11,3.54,1.9,0.07,0.6
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,143,6.05,2.45,2.01,0.87,0.72
Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,144,6.03,4.47,1.2,0.16,0.19
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,145,6.03,2.63,1.74,0.83,0.83
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,146,6.03,3.18,1.83,0.78,0.24
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,147,5.99,2.41,2.28,0.28,1.01
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,148,5.95,1.88,0.0,2.33,1.74
LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,149,5.92,2.8,2.05,0.17,0.9
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,150,5.84,0.66,0.69,4.35,0.15
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,151,5.83,3.66,1.63,0.0,0.53
Resident Evil 2,PS,1998.0,Action,Virgin Interactive,152,5.82,1.88,1.47,2.02,0.45
Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,153,5.74,2.26,1.89,1.36,0.23
Cooking Mama,DS,2006.0,Simulation,505 Games,154,5.72,3.13,1.94,0.07,0.58
Destiny,PS4,2014.0,Shooter,Activision,155,5.65,2.49,2.05,0.16,0.96
Tetris,NES,1988.0,Puzzle,Nintendo,156,5.58,2.97,0.69,1.81,0.11
Assassin's Creed II,PS3,2009.0,Action,Ubisoft,157,5.57,2.54,1.95,0.21,0.87
Super Smash Bros.,N64,1999.0,Fighting,Nintendo,158,5.55,2.95,0.6,1.97,0.04
Assassin's Creed,X360,2007.0,Adventure,Ubisoft,159,5.55,3.28,1.65,0.07,0.55
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,160,5.53,2.7,1.91,0.11,0.8
Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,161,5.51,2.99,1.92,0.1,0.51
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,162,5.5,0.47,0.57,4.13,0.34
Super Mario Advance,GBA,2001.0,Platform,Nintendo,163,5.49,3.14,1.24,0.91,0.2
Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,164,5.47,2.62,1.64,0.99,0.23
Super Mario World,GBA,2001.0,Platform,Nintendo,165,5.46,3.21,1.11,0.95,0.2
Pokemon Stadium,N64,1999.0,Strategy,Nintendo,166,5.45,3.18,1.24,0.94,0.09
Call of Duty: World at War,PS3,2008.0,Shooter,Activision,167,5.43,2.72,1.87,0.0,0.84
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,168,5.42,2.07,2.29,0.24,0.82
Minecraft,PS3,2014.0,Misc,Sony Computer Entertainment,169,5.42,1.97,2.51,0.0,0.94
Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,170,5.36,1.74,1.24,1.87,0.52
Dr. Mario,GB,1989.0,Puzzle,Nintendo,171,5.34,2.18,0.96,2.0,0.2
Pokemon Pinball,GB,1999.0,Misc,Nintendo,172,5.31,3.02,1.12,1.01,0.16
Assassin's Creed III,X360,2012.0,Action,Ubisoft,173,5.3,3.13,1.71,0.03,0.44
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,174,5.3,1.62,0.77,2.78,0.14
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,175,5.29,1.92,1.08,2.11,0.17
Donkey Kong 64,N64,1999.0,Platform,Nintendo,176,5.27,3.33,0.79,1.09,0.06
Assassin's Creed II,X360,2009.0,Action,Ubisoft,177,5.27,3.1,1.56,0.08,0.51
Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,178,5.26,1.22,2.48,1.03,0.52
Tomb Raider II,PS,1997.0,Action,Eidos Interactive,179,5.24,2.3,2.46,0.2,0.28
Madden NFL 2004,PS2,,Sports,Electronic Arts,180,5.23,4.26,0.26,0.01,0.71
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,181,5.21,0.65,0.75,3.61,0.2
Diablo III,PC,2012.0,Role-Playing,Activision,182,5.2,2.43,2.15,0.0,0.62
